Screen Name,User Name,Tweet Created At,Tweet Text,Tweet Coordinates,Retweet Count,Phone Type,Favorite Count,Favorited,Type
CNBC,CNBC,2019-08-02 9:16,Bill Gates and Big Oil back this company that's trying to solve climate change by sucking CO2 out of the air. https://t.co/YPyAXm56Kg,None,16,SocialFlow,54,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 9:06,"Trump's new tariffs on China might shrink the global economy, says bank CEO https://t.co/iVFBKPhR9s",None,15,SocialFlow,24,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 9:02,Fed Chairman Jerome Powell said the central bank’s rate cut earlier this week was part an ongoing move to adjust to… https://t.co/kesVdYHdtZ,None,8,Twitter Media Studio,9,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 8:55,Do you know the difference between fixed and variable expenses? Test your budget IQ here. #investinyou (In partners… https://t.co/nqhuVasacF,None,5,SocialFlow,9,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 8:41,"You don't need to buy a 5G phone, and probably won't for a few years https://t.co/QyXTXXzUHI",None,12,SocialFlow,28,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 8:25,"As soon as @SHAQ started investing like Jeff Bezos, ""I probably quadrupled what I'm worth."" (via @CNBCMakeIt) https://t.co/R6KQx5Au1y",None,10,SocialFlow,23,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 8:18,"Tesla is planning to do solar roof testing at its Fremont car plant, building permits reveal https://t.co/c51CKdvVtE",None,6,SocialFlow,27,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 8:07,Trump played down North Korea's string of missile tests. That could embolden Kim https://t.co/ARHXgzIoO3,None,7,SocialFlow,8,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 8:03,"OK Google, who created you? Meet the team behind Google Assistant's personality. https://t.co/egoMPeWIAn https://t.co/toDv0wEjRH",None,8,Twitter Media Studio,21,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 7:58,Google to let EU users choose default search provider on Android after record antitrust fine https://t.co/E8VOB48Abz,None,6,SocialFlow,13,FALSE,from:cnbc -filter:retweets
